N,Advertiser,Product,Artist,Song,Year,Title,Link,RawInfo
77,Microsoft Surface Go,,,,2018,Microsoft Surface Go Commercial – Holiday 2018,https://www.tvadvertmusic.com/2018/11/video-microsoft-surface-go/,"Microsoft’s new TV ad for the Surface Go shows a young girl telling her grandma not to go out and buy an iPad, which she says was fine when she was six, but not now she’s 10.The girl then performs a full-on song and dance routine about how the portable Windows tablet/computer will be more suitable for the things she wants to do, and will allow her to be “The smartest me that I can be”.This holiday 2018 Microsoft Surface Go commercial music is an adaption of the novelty Christmas song Grandma Got Run Over by a Reindeer, recorded just for this advert.November 27, 2018"
78,Zales,,Ella Fitzgerald & Louis Armstrong,Cheek To Cheek,2018,"Zales Commercial Song – Heaven, Dancing Cheek To Cheek",https://www.tvadvertmusic.com/2018/11/video-zales-commercial-song/,"Diamond store Zales bring us their 2018 holidays TV commercial here, with the ad delivering the message to ‘Make an Unmistakable Statement’.The video features a couple meeting up in the middle of a dance floor , where the man returns the favor of the woman taking his breath away by giving her a gift from Zales for Christmas.Advert Music: Cheek To Cheek. Artists: Ella Fitzgerald & Louis Armstrong.Download or preview on Amazon & iTunes.This holidays 2018 Zales commercial song is called Cheek To Cheek and is performed by legendary singers Ella Fitzgerald & Louis Armstrong. Featuring the lyrics “Heaven, I’m in heaven” and “When we’re out together, dancing cheek to cheek”, this version of the song was released in 1956 as part of the album Ella and Louis.November 25, 2018"
79,,,Shirley & Lee,Let The Good Times Roll,2018,Walmart – Let The Good Times Roll,https://www.tvadvertmusic.com/2018/11/video-walmart-toys/,"Walmart promote themselves as ‘America’s Best Toy Shop’ in this latest 2018 holidays TV ad. This time the video shows parents buying various toys in store and their kids then enjoying playing with them on Christmas Day.Advert Music: Let The Good Times Roll. Singers: Shirley & Lee.Download or preview at Amazon & iTunes.This Walmart toys commercial soundtrack is a tune called, as the lyrics suggest, Let The Good Times Roll. The track was recorded by American R&B singing duo Shirley & Lee, who consisted of singer-songwriters Shirley Goodman and Leonard Lee, and was released as a single in 1956.Walmart America’s Best Toy Shop YouTube ad video upload date: November 28, 2018."
80,Walmart,,Little River Band,Help Is On Its Way,2018,Walmart Commercial Song – Grocery Pickup Help,https://www.tvadvertmusic.com/2018/11/video-walmart-pickup-song/,"In this ad Walmart promotes their shopping app and ‘order groceries online, pick them up free’ service.The video shows a busy mum taking her daughter to the dentist and rushing to her sons school to give him his tuba, before quickly stopping by her local Walmart store to pickup her pre-picked grocery order.Advert Music: Help Is On Its Way. Artist: Little River Band.Preview or download on Amazon, iTunes.Including the lyrics “Why’re you in so much hurry? Is it really worth the worry?”, this Walmart ad soundtrack is the suitably titled Help Is On Its Way by Australian rock group Little River Band, which was released in 1977.Walmart Grocery Pickup Convenience YouTube ad video release date: November 23, 2018."
81,H&M,,Neneh Cherry,Buffalo Stance,2018,"H&M Commercial, Holiday 2018 – Aubrey Plaza Dancing",https://www.tvadvertmusic.com/2018/11/hm-commercial-song-aubrey-plaza-dancing/,"H&M has now released this Episode 2 installment of their Hotel Mauritz Holiday ad campaign.Not being particularly Christmas-themed, this second video shows actress Aubrey Plaza, who played April in mockumentary sitcom Parks and Recreation, dancing in front of a mirror.Advert Music: Buffalo Stance. Singer: Neneh Cherry.Preview or download at iTunes, Amazon.com & Amazon UK.The holiday 2018 H&M commercial song Aubrey and others are dancing to is Buffalo Stance, which was released in 1988 by Swedish-born hip-hop singer Neneh Cherry. Including the lyrics “No moneyman can win my love”, this advert track reached number 3 on the US Billboard Hot 100 and is taken from the artists’ debut album, Raw Like Sushi.November 16, 2018"
82,Bose NFL,,The Go! Team,All The Way Live,2018,Bose NFL Commercial Song – Russell Wilson,https://www.tvadvertmusic.com/2018/11/video-bose-nfl-song/,"Bose promote their wireless in-ear headphones in this new TV commercial, which stars NFL player Russell Wilson.The Seattle Seahawks football quarterback is seen training while wearing the Bose SoundSport Free wireless earbuds, which are designed to stay in so you can move.Advert Music: All The Way Live. Artists: The Go! Team.Preview or download on Amazon, iTunes.This NFL and Bose 2018 commercial song is a track called All The Way Live that was recorded by English indie rock band The Go! Team. The song was released for download earlier this year and features on the groups fifth studio album Semicircle.Bose Official Sound of the NFL with Russell Wilson YouTube ad video post date: November 20, 2018."
83,Apple,,Billie Eilish,come out and play,2018,Apple Commercial Song Holiday 2018 – Share Your Gifts,https://www.tvadvertmusic.com/2018/11/video-apple-holiday-song/,"Here’s the full-length version of the new Apple Christmas and holiday season TV commercial, which tells viewers to ‘Share Your Gifts’.The animated advert tells the story of an artistically talented young girl who keeps her creations hidden away because she’s too afraid to share them. But when the girls dog pushes open a window, her papers are blown across town for everyone to see. Only then, as she sees peoples positive reactions, does the girl realize her true talent.Advert Music: come out and play. Artist: Billie Eilish.Preview or download on iTunes, Amazon.com, Amazon UK.This holiday 2018 Apple commercial song is a new track called Come Out and Play that was recorded by Californian singer-songwriter Billie Eilish.Apple Share Your Gifts YouTube Holiday, Christmas ad video release date: November 20, 2018."
84,Coca-Cola,,,,2018,Coca-Cola Commercial – Christmas,https://www.tvadvertmusic.com/2018/11/video-coca-cola-christmas/,"In a change to their traditional ‘Holidays Are Coming’ ad, Coca-Cola have just released this new ‘The World Needs More Santa’s’ Christmas 2018 commercial, which invites viewers to #BeSanta.The video shows a boy riding his bike to the store to buy a bottle of Coke, but then giving his drink and some food to a guy sitting outside, who looks just a little like Santa.Advert Music: It’s Christmas Time (It’s All Around).This Coca-Cola holidays tune is titled It’s Christmas Time (It’s All Around) and is a piece of production music recorded especially for the campaign. As a result, this track hasn’t currently been released for download as a complete single.November 25, 2018"
85,Tiffany & Co.,,Aerosmith,Dream On,2018,Tiffany & Co. Commercial Song – Dream On,https://www.tvadvertmusic.com/2018/11/video-tiffany-co-song/,"Luxury jewellery retailer Tiffany & Co. has just launched this new Believe In Dreams 2018 Christmas and holiday season TV commercial, which stars models Zoe Kravitz and Naomi Campbell.Advert Music: Dream On. Artists: Aerosmith.Preview or download on Amazon.com, Amazon UK, iTunes.This 2018 Christmas Tiffany commercial song is called Dream On and was released way back in 1973 by Boston rock band Aerosmith. Now the first time I listened to this track, I thought that’s not Steven Tyler singing. But it turns out these are indeed his vocals as he used to sound in the groups early days. I think this recording sounds more like a classic rock ballad than most of the bands later work, but great in its own way. This Tiffany advert song featured on Aerosmith’s self-titled debut album.November 12, 2018"
86,Microsoft Holiday,,,,2018,Microsoft Holiday Commercial – Xbox Adaptive Controller,https://www.tvadvertmusic.com/2018/11/video-microsoft-holiday-xbox/,"Microsoft have just released their new TV commercial for the 2018 holiday season, which shows a group of kids running down a snow-covered street shouting “He’s gonna do it”.The children eventually arrive at the home of their friend Owen, who has Escobar Syndrome. They find nine-year-old Owen in the process of making a big in-game achievement with help from Microsoft’s Xbox Adaptive Controller. This ad video ends with the children celebrating Owen’s success and the on-screen messages ‘When everybody plays, we all win’ and ‘Give Wonder’.Advert MusicThis Microsoft Christmas commercial music is an adaptation of the classic holiday song Rudolph the Red Nosed Reindeer.November 10, 2018"
87,Jared,,Albin Lee Meldau,About You,2018,Jared Commercial Song – Dare To Be Devoted,https://www.tvadvertmusic.com/2018/11/video-jared-song/,"This latest ‘Dare To Be Devoted’ Jared TV commercial encourages us to dare to make a scene, dare to ask him, dare to commit and dare to try again.Music: About You. Singer: Albin Lee Meldau.Preview or download on Amazon, iTunes.Featuring the lyrics “No one gon’ love you like I do”, this particular 2018 Jared commercial song is a soul track titled About You that was released for download back in June by Swedish singer-songwriter and musician Albin Lee Meldau.Jared The Galleria Of Jewelry YouTube ad video upload date: November 8, 2018."
88,United States Postal Service Holiday,,,,2018,United States Postal Service Holiday Commercial,https://www.tvadvertmusic.com/2018/11/video-postal-service-song/,"This United States Postal Service 2018 Christmas TV commercial tells us how they make more deliveries to homes over the holiday season than anyone else, except of course for Santa Claus, who also makes an appearance in the ad video.According to USPS, you could say they’re in the same business as Santa, but using a different sort of magic.Advert Music: Symphony No. 6 in F major, Op. 68. Composer: Beethoven.This holiday 2018 United States Postal Service commercial song is a piece of classical music called Symphony No. 6 in F major, Op. 68, which is also known as the Pastoral Symphony. This piece was completed in 1808 by German composer and pianist Ludwig van Beethoven.USPS TV Surprise Encounter YouTube video upload date: November 8, 2018."
89,C&A Christmas,,,,2018,C&A Christmas Commercial,https://www.tvadvertmusic.com/2018/11/video-ca-christmas/,"Fashion retailer C&A has just released this new 2018 Christmas TV commercial, which they have named #rockxmas.The ad video shows some men and women initially sat down for a traditional festive dinner, until they all spring up and start dancing.Matching the ads visuals, this 2018 C&A Christmas commercial song is initially Silent Night, before switching to a contrasting uptempo piece of music.C&A Feel Good Fashion #rockxmas #newrules YouTube TV ad video release date: November 14, 2018."
90,Carolina Herrera Good Girl,,Chris Isaak,Baby Did a Bad Bad Thing,2018,Carolina Herrera Good Girl Commercial Song,https://www.tvadvertmusic.com/2018/11/video-good-girl-herrera/,"Fashion and fragrance brand Carolina Herrera New York promote their Good Girl Velvet Fatale Eau de Parfum for her in this latest commercial, with a little help from Karlie Kloss.This TV advert sees the 26-year-old American model wearing a long red dress and looking a little like sultry cartoon character Jessica Rabbit.Advert Music: Baby Did a Bad Bad Thing. Singer: Chris Isaak.Preview or download at iTunes, Amazon.com and Amazon UK.The Good Girl Carolina Herrera commercial song is called Baby Did a Bad Bad Thing and was recorded by Californian singer-songwriter and musician Chris Isaak. The single was released in 1995 and is taken from the artists fifth album Forever Blue.Carolina Herrera New York with model Karlie Kloss YouTube ad video release date: November 7, 2018."
91,KFC Chicken & Waffles,,Bill Medley & Jennifer Warnes,(I’ve Had) The Time of My Life,2018,KFC Chicken & Waffles Commercial – Dirty Dancing,https://www.tvadvertmusic.com/2018/11/video-kfc-waffles-commercial/,"Here’s a look at the second of two new TV commercials from KFC to promote their limited menu option of Kentucky Fried Chicken with waffles and syrup. This latest ad sees The Colonel dancing with, and lifting a life size bottle of Mrs. Butterworth.Advert Music: (I’ve Had) The Time of My Life. Artists: Bill Medley & Jennifer Warnes.Preview or download at iTunes, Amazon.Fitting in with the ads dance routine, this latest KFC commercial song is of course (I’ve Had) The Time of My Life by singers Bill Medley and Jennifer Warnes, which was the main theme to the 1987 film Dirty Dancing.KFC Dance Is The Hidden Language Of The Stomach YouTube ad video release date: November 11, 2018."
92,KFC,,Jennifer Rush,The Power of Love,2018,KFC Commercial – Chicken & Waffles,https://www.tvadvertmusic.com/2018/11/video-kfc-waffles/,"This funny and strangely moving new KFC commercial brings viewers what they’re claiming to be the most delicious union of all time: Kentucky Fried Chicken and Waffles.The ad video shows The Colonel moving in close for a kiss with a life size bottle of Mrs. Butterworth syrup. The question is, if this is the most delicious union ever, why’s it only available for a limited time?Advert Music: The Power of Love. Artist: Jennifer Rush.Preview or download at iTunes, Amazon.This 2018 to 2019 KFC commercial song is that classic power ballad The Power of Love by New York singer Jennifer Rush. This original version was released in 1984 and was then covered in 1993 by Canadian singer Celine Dion.KFC Love at First Taste – Chicken & Waffles original YouTube video upload date: November 11, 2018."
93,Mitsubishi Triton,,,,2018,Mitsubishi Triton Commercial – I’m Getting Stronger,https://www.tvadvertmusic.com/2018/11/video-mitsubishi-triton/,"Mitsubishi showcase their Triton pick-up truck in this newly-released promotional video. Claiming that being tough is not enough, this ad shows the vehicle being put through a series of rigorous tests in their pursuit of ultimate toughness and reliability. The promo concludes with the slogans ‘Engineered Beyond Tough’ and ‘Drive Your Ambition’.This 2018 Mitsubishi Triton commercial song features the lyrics “I’m getting stronger” but doesn’t appear to have been released for download as a full single.Mitsubishi Motors Ad YouTube video upload date: November 8, 2018."
94,MINI Clubman,,,,2019,MINI Clubman Commercial – ALL4 All-Wheel Drive,https://www.tvadvertmusic.com/2018/11/video-mini-clubman-all4/,"MINI promote their ALL4 All-Wheel Drive Clubman in this latest TV ad, which shows the car being driven on icy and snow-covered roads.According to Mini, their small 5-door hatchback offers the sophistication of an urban vehicle, but with the traction and agility needed to explore drivers more adventurous sides.As is often the case with ads from this manufacturer, this latest 208 to 2019 MINI Clubman commercial song appears to be a new piece of music, recorded especially for the advert video and not for release as a single.November 7, 2018"
95,H&M,,,,2018,H&M Commercial – Hotel Mauritz,https://www.tvadvertmusic.com/2018/11/video-hm-hotel/,"Fashion brand H&M have just released this first episode of their holiday season ad campaign, which is titled ‘Hotel Mauritz’.The commercial video shows a woman, played by Parks and Recreation actress Aubrey Plaza, and then a man both ringing the bell to check in. But when the pair think nobody’s coming, they break into an impromptu duet.Advert Music: I Think We’re Alone Now.Preview or download the Tiffany version on iTunes, Amazon.com & Amazon UK.This Christmas and holiday H&M commercial song that Aubrey and her new friend are singing is called I Think We’re Alone Now and was first released in 1966 by Michigan rock band Tommy James and The Shondells. This song has since been covered by Lene Lovich and more recently in 1987 by Californian pop singer Tiffany Darwish.November 4, 2018"
96,Mango,,Drugdealer & Weyes Blood,Suddenly,2018,Mango Commercial Song – Party Season,https://www.tvadvertmusic.com/2018/11/video-mango-season/,"Fashion retailer Mango have just brought out their new FW’18 TV ad, which proclaims ‘Party Season Is Here!’.The video shows male and female models showcasing the brands latest collection while walking through the streets, a park and taking bus ride.Advert Music: Suddenly. Artists: Drugdealer & Weyes Blood.Preview or download on iTunes, Amazon.This Fall & Winter 2018 Mango commercial song is called Suddenly and was released for download in 2016. Taken from The End Of Comedy album, the track was recorded by the Michael Collins music project Drugdealer and features Californian musician and singer Weyes Blood.November 8, 2018"
97,David Jones Christmas,,Mr Little Jeans,Dear Santa,2018,David Jones Christmas Commercial Song,https://www.tvadvertmusic.com/2018/11/video-david-jones-song/,"Department store David Jones have just released this new TV ad for the holiday season, with the video showing a family sat at a table enjoying a luxurious meal in the woods, with lights hanging from the trees.Advert Music: Dear Santa. Artist: Mr Little Jeans.Preview or download at iTunes, Amazon.This 2018 David Jones Christmas commercial song is called Dear Santa and was recorded by female Norwegian singer-songwriter and musician Mr Little Jeans, whose real name is Monica Birkenes. The now Los Angeles-based artist released the song in 2014, including the lyrics “My favorite time of year, everybody’s happy spreading Christmas cheer”.November 7, 2018"
98,Samsung Galaxy,,,,2018,Samsung Galaxy Commercial 2018 – Be Together,https://www.tvadvertmusic.com/2018/11/video-samsung-galaxy-song/,"Tech brand Samsung has now released their new TV commercial for the 2018 holiday season, with the ad telling us “If you can’t be together, be together with Galaxy”. The video shows families who’re unable to be together in person over Christmas, staying connected using video chat calls on Samsung Galaxy phones and tablets.Advert Music: Somewhere Only We Know (Keane cover).Preview or download the original Keane version on iTunes, Amazon.This holidays 2018 Samsung commercial song is a cover of Somewhere Only We Know, which was originally recorded by British pop-rock band Keane. We initially thought this new version was by The Voice France contestant Elsa Roses, but it appears it was actually recorded by Filipino singer Reneé Dominique.Samsung Be Together – Do What You Cant YouTube video release date: November 9, 2018."
99,Peloton Bike Holiday,,Meghan Trainor and Brett Eldredge,Crazy Little Thing Called Love (Queen cover),2018,Peloton Bike Holiday Commercial Song,https://www.tvadvertmusic.com/2018/11/video-peloton-bike-song/,"Peloton have just released two new commercials for the 2018 holiday season titled ‘His & Hers’.One ad shows a woman discovering a Peloton exercise bike her boyfriend or husband has bought her for Christmas and sneakily using it before the big day, while the other version basically shows the actors doing it the opposite way around.Advert Music: Crazy Little Thing Called Love (Queen cover). Singers: Meghan Trainor and Brett Eldredge.Preview or download the original Queen version on iTunes, Amazon.One of these 2018 Peloton Christmas commercial songs is a cover of Queen’s Crazy Little Thing Called Love, performed by pop singer-songwriter Meghan Trainor, while the other ad features a cover of the same track recorded by country music singer-songwriter Brett Eldredge.Peloton Bike His & Hers YouTube ad videos upload date: November 4, 2018."
100,,,Steve Winwood,Gimme Some Lovin’,2018,Walmart Thanksgiving – Gimme Some Lovin,https://www.tvadvertmusic.com/2018/11/walmart-thanksgiving-song/,"On the same day as they released their Christmas TV ad, Walmart have also brought out this 2018 Thanksgiving commercial.The video shows a man going to collect the food shopping with his kids after his wife has placed an order using the app on her phone. The ad then finishes with the on-screen messages ‘Pass the goodness’ and ‘Order groceries online. Pickup for free. Walmart.com.’Advert Music: Gimme Some Lovin’. Artist: Steve Winwood.Preview or download at iTunes, Amazon.This 2018 Walmart Thanksgiving song is Gimme Some Lovin’ by English musician Steve Winwood, who was a member of The Spencer Davis Group rock band. The song was released as a single in 1966.Walmart Grocery App, Thanksgiving Meal YouTube video upload date: November 5, 2018."
101,,,Sia,Round and Round,2018,Target Thanksgiving,https://www.tvadvertmusic.com/2018/11/video-target-thanksgiving/,"Target’s Thanksgiving TV ad for 2018 invites viewers to ‘Gather Round’ and shows lots of tasty food on the table, along with some side kicks. We’re also shown a selection of clothing and household items chosen for this holiday season.Advert Music: Round and Round. Artist: Sia.Preview or download on Amazon, iTunes.This catchy Target Thanksgiving commercial song is the track Round and Round, which has only just been released for download as a single. Featuring the lyrics “You know that this is really love”, the song was recorded for the festive season by Australian singer-songwriter Sia and is also featured on last years seasonal album Everyday Is Christmas.Target Thanksgiving, Holiday YouTube video upload date: November 1, 2018."
102,Starbucks Holiday,,,,2018,Starbucks Holiday Commercial – Peppermint Mocha,https://www.tvadvertmusic.com/2018/11/starbucks-holiday-song/,"Here’s the second of two ‘Sip a Cup of Magic’ Christmas TV commercials for Starbucks and the third of three holiday season ads so far.This ad focuses on the coffeehouses Peppermint Mocha drink, which we see a girl named Lea pick up two of before heading out into the snow. We then watch the actress walking down the sidewalk on the way to a friends apartment.Advert Music: Sip a Cup of Magic (Lea’s Theme).This newest 2018 Starbucks holidays commercial song is again titled Sip a Cup of Magic, but is in fact a totally different track. This Lea’s Theme version features the lyrics “On the brighter side, there’s magic in the night. Every taste is sweet to me and everything is like our brighter side. Everything we do, is filled with joy and happiness. Just for me and you.” As is the case with the other Sip a Cup of Magic theme, this song appears to have been recorded just for this ad and not for release as a single.Starbucks Coffee Holiday – Peppermint Mocha YouTube video upload date: November 2, 2018."
103,Jared Jewelry,,Oh Wonder,Bigger Than Love,2018,Jared Jewelry Commercial Song – Dare To Be Devoted,https://www.tvadvertmusic.com/2018/11/video-jared-dare-song/,"Jewelry and gifts brand Jared has just released a series of holiday season TV commercials that dare viewers to be devoted.This particular ad shows couples who some people might class as being too young, too old, too different or too far apart to be truly devoted, but not to them.Music: Bigger Than Love. Artists: Oh Wonder.Preview or download at iTunes, Amazon.This holiday and Christmas Jared commercial song is called Bigger Than Love and was released for download last year by the London-based musical duo Oh Wonder. The track is also part of the pop groups second album Ultralife.Jared Jewelry Dare To Let Your Devotion Shine YouTube ad video release date: November 8, 2018."
104,Jeep,,OneRepublic,White Christmas,2018,Jeep Commercial – Colorful Christmas,https://www.tvadvertmusic.com/2018/11/video-jeep-christmas-song/,"Jeep promote this months Black Friday Sales Event and their range of SUV’s in this Colorful Christmas 2018 TV commercial. The ad voiceover tells us that “Some people chose to follow traditions. Some prefer to make their own. The holidays are where you take them.”Advert Music: White Christmas. Artists: OneRepublic.This holiday season 2018 Jeep commercial song is a far from traditional cover of White Christmas, which is being performed by Colorado pop-rock band OneRepublic. It so far looks like the group recorded this version just for the Jeep SUV ad campaign, but we’ll keep a look out just in case it gets released for download as a full single.Jeep Colorful Christmas YouTube video release date: November 5, 2018."
105,EXPRESS,,John Legend (feat. Stevie Wonder),What Christmas Means to Me,2018,EXPRESS Commercial Song – What Christmas Means to Me,https://www.tvadvertmusic.com/2018/11/video-express-holiday-song/,"Model Karlie Kloss stars in this new 2018 holiday season, Christmas commercial for men’s and women’s fashion and gift retailer EXPRESS, which the company have titled ‘Time To Shine’. The ad video shows lots of men and women partying and getting into the holiday spirit while modelling some of the brands latest styles.Advert Music: What Christmas Means to Me. Artists: John Legend (feat. Stevie Wonder).Preview or download at iTunes, Amazon.This festive-themed 2018 Express commercial song is a new cover of Stevie Wonder’s 1967 single What Christmas Means to Me. Released just a few days ago, this version was recorded by American singer-songwriter John Legend, featuring Stevie Wonder.EXPRESS Time To Shine This Holiday Season with Karlie Kloss YouTube video upload date: November 4, 2018."
106,,,The Isley Brothers,Shout,2018,Walmart – Light Up Christmas,https://www.tvadvertmusic.com/2018/11/video-walmart-christmas-song/,"It may not even be Thanksgiving yet, but Walmart have today launched their 2018 festive TV ad, which they’ve titled ‘Light Up Christmas’. The video begins with a cat being woken up on the couch as the kids come running down the stairs on Christmas morning, before the family excitedly open their presents and we’re shown the slogan ‘All the joy. All for less. Walmart.com’.Advert Music: Shout. Artists: The Isley Brothers.Preview or download at iTunes, Amazon.The choice of 2018 Walmart soundtrack is the original Isley Brothers version of Shout, which the Ohio musical group released in 1959. The song has since been covered by a long list of singers and groups from around the world.Walmart Light Up Christmas YouTube video release date: November 5, 2018."
107,,,Meghan Trainor,All The Ways,2018,Target Holiday – Run and Done,https://www.tvadvertmusic.com/2018/11/target-holiday-commercial-song/,"Target use this 2018 TV ad to tell us about all the ways you can bring home the holidays this season, showing families taking advantage of the retailers 2-day free shipping, drive up, order pick up and, of course, their same day delivery service.Advert Music: All The Ways. Artist: Meghan Trainor.Preview or download at Amazon, iTunes.This 2018 Target Run holidays commercial song is the same track that has already featured in a number of the companies TV ads this year. That piece of music is called All The Ways and was released back in June by singer Meghan Trainor. The song will also feature on the artists upcoming album Treat Myself.Target Holiday, All the Ways YouTube video release date: November 1, 2018."
108,Macy’s Holiday,,Joel Hartman,Home,2018,Macy’s Holiday Commercial – Wonder of Giving,https://www.tvadvertmusic.com/2018/11/macys-commercial-song-holidays/,"Fashion and accessories department store Macy’s have now released their new holiday season and Christmas 2018 TV commercial, which features the slogan ‘Believe in the Wonder of Giving’.The storyline of this ad is something we can of course all relate to: Having a family member away over the holidays because they’re on a space mission and currently orbiting the earth. So to let her know her family is thinking of her, the astronauts husband and daughter send a present of a snow globe up to her for Christmas, with its homemade packaging creating the effect of it snowing inside the space station. Now if watching The Simpsons over the years has taught me anything, and it’s taught me a lot, it’s that you don’t want lots of small objects floating around inside a spacecraft in case they get inside the electronics. But hey, It’s Christmas.Advert Music: Home. Artist: Joel Hartman.This piano-based 2018 Macy’s Christmas commercial song is titled Home and was composed for Soundtree Music by Joel Hartman. This song unfortunately doesn’t currently appear to have been released for download as a full single, but we’ll update this page if we hear any different.Macy’s Believe in the wonder of giving, holiday season YouTube video release date: 4 November, 2018."
109,Starbucks Holiday,,,,2018,Starbucks Holiday Commercial – Latte,https://www.tvadvertmusic.com/2018/11/starbucks-holiday-magic-song/,"Starbucks has so far brought out three different TV commercials for the Christmas and holiday season, with this particular ‘Sip a Cup of Magic’ ad specifically promoting the coffee brands Caramel Brulee Latte, which does look rather delicious.The video shows a man weaving his way through a busy train station while holding a cup of latte in each hand, before meeting up with his wife or girlfriend and sharing a kiss.Advert Music: Sip a Cup of Magic (Kevin’s Theme).This 2018 Starbucks commercial song includes the lyrics “Looking forward to the winter. We’re busy making plans, packing up our bags. Counting down to the New Year. And I just can’t wait for the holidays and all the happiness it brings”. We don’t know the name of the singer yet, but the song is titled Sip a Cup of Magic (Kevin’s Theme). Unfortunately, this track hasn’t been released for download as a complete single.Starbucks Coffee Caramel Brulee Latte YouTube video release date: November 2, 2018."
110,,,GTA & Jenn Morel,Buscando,2018,Samsung Galaxy Note9 – Fortnite,https://www.tvadvertmusic.com/2018/11/video-galaxy-note9-song/,"Samsung continue to promote their Galaxy Note9 smartphone in this latest Fortnite Victory Dance commercial which, as the title hints at, shows men and women performing questionable dance moves from the hit online video game Fortnite. The ad is designed to let viewers know that the Note 9 phone contains the companies most powerful battery yet, so players can outlast the rest.Music: Buscando. Artists: GTA & Jenn Morel.Preview or download at iTunes, Amazon & Amazon UK.This Galaxy Note9 ad tune is the recently-released dance track Buscando. This fast-paced piece of music was recorded by the Miami-based electronic DJ duo GTA and Dominican female singer-songwriter Jenn Morel. The single was first released for download in late September.Samsung Galaxy Note9: Fortnite Victory Dance #GalaxyNote9 YouTube video release date: November 1, 2018."
111,Apple MacBook Air,,SHAED,Trampoline,2018,Apple MacBook Air Commercial Song – Lightness,https://www.tvadvertmusic.com/2018/11/video-macbook-air-song/,"In this commercial for the MacBook Air, Apple focus on the laptops new thinner and lightweight design. The ad shows the device floating as if it were in space and finishes with the slogan ‘Lightness Strikes Again’. This latest version of the MacBook Air comes with an eighth-generation Intel Core i5 processor, a Retina display, Touch ID, a next-gen butterfly keyboard and Apple’s T2 Security Chip.Advert Music: Trampoline. Artists: SHAED.Preview or download at iTunes, Amazon.Released for download in May of this year, this new Apple MacBook Air commercial song is titled Trampoline. This piece of music includes the lyrics “I’ve been having dreams, jumping on a trampoline” and was recorded by Washington, DC three-piece group SHAED, who include singer Chelsea Lee.Apple MacBook Air – Lightness YouTube video release date: October 30, 2018."
112,Starbucks Holiday,,,,2018,Starbucks Holiday Commercial – Red Cup,https://www.tvadvertmusic.com/2018/11/video-starbucks-red-cup/,"Coffee chain Starbucks announce the return of the Red Cup in this new Holiday season TV commercial. The dramatic ad spot shows slow motion footage of amazed customers faces as they realize It’s Back!Advert Music: War Effort. Composer: Paul Mottram.Preview or download at iTunes, Amazon.This latest 2018 Starbucks commercial song is a piece of classical music called War Effort that was recorded by composer and arranger Paul Mottram, along with the English Session Orchestra, Audio Network Chorus and musician Julian Gallant. This track was released for download in April of this year.Starbucks Coffee It’s back, Red Cup Holiday #RedCup YouTube video release date: October 31, 2018."
113,Under Armour,,Gene Allison,You Can Make It If You Try,2018,Under Armour Commercial Song – You Can Make It,https://www.tvadvertmusic.com/2018/11/video-under-armour-song/,"This Under Armour TV ad shows professional athletes and everyday people training hard to overcome obstacles and tells us that ‘Will Makes Us Family’. The line-up of the pro sports stars seen in this advert video includes NFL quarterback Cam Newton, American ballet dancer Misty Copeland and British boxing champ Anthony Joshua.Advert Music: You Can Make It If You Try. Singer: Gene Allison.Preview or download on iTunes, Amazon.This 2018 to 2019 Under Armour commercial song is a tune called You Can Make It If You Try that was recorded in 1957 by American R&B singer Gene Allison. This song has since been covered by a number of different artists, including rock band The Rolling Stones.2 November, 2018"
114,Fitbit Holiday,,Nat Hendrix Band and Sugar Pie DeSanto,A Little Taste Of Soul,2018,Fitbit Holiday Commercial Song,https://www.tvadvertmusic.com/2018/11/video-fitbit-song/,"Activity tracker and fitness watch brand Fitbit promote their Charge 3 and Versa devices in this new #GiftFit Unwrap Inspiration This Holiday 2018 Christmas TV commercial.In the advert video we see men and women of all ages receiving Fitbit’s as presents and getting active by dancing, running, swimming and performing yoga.Advert Music: A Little Taste Of Soul. Artists: Nat Hendrix Band and Sugar Pie DeSanto.Preview or download on iTunes, Amazon.com & Amazon UK.The 2018 Fitbit commercial song is a tune called A Little Taste Of Soul and was recorded by Nat Hendrix Band, with vocals provided by African-American and Filipino-American R&B singer Sugar Pie DeSanto. You can download this track as a single or as part of the album James Brown’s Original Funky Divas.November 5, 2018"
115,Apple – Behind The Mac,,Hauschka,Shy,2018,Apple – Behind The Mac Commercial Song,https://www.tvadvertmusic.com/2018/10/video-apple-behind-mac/,"Apple have just brought out a new Behind The Mac commercial, this time titled ‘Make Something Wonderful’. This time the video features a slideshow of still photos of various celebrities, sports people and musicians. Some of the famous faces appearing in the ad include Sir Paul McCartney, Kermit The Frog, David Grohl, Oprah Winfrey, Bono and The Edge from U2, and Karlie Kloss.Advert Music: Shy. Artist: Hauschka.Preview or download at iTunes, Amazon and Amazon UK.This latest 2018 Behind The Mac Apple commercial song is a tune called Shy that was recorded by German pianist and composer Volker Bertelmann. This electronic and avant-garde musician goes by the stage name Hauschka. Taken from the EP 5 Movements, Shy was released for download in 2017.Apple Make Something Wonderful YouTube advert video release date: October 30, 2018."
